Date,Function,Metric,Value
2023-05-01,Sherry's team,Billed Revenue,2358053.0
2023-05-01,Sherry's team,Monthly WIN - MRC,32604.0
2023-05-01,Sherry's team,Monthly WIN - TCV,420355.0
2023-05-01,Sherry's team,Order in Progress - MRC,11630.0
2023-05-01,Zscaler,Billed Revenue,0.0
2023-05-01,Zscaler,Monthly WIN - MRC,0.0
2023-05-01,Zscaler,Monthly WIN - TCV,0.0
2023-05-01,Zscaler,Order in Progress - MRC,0.0
2023-06-01,AT&T,Billed Revenue,0.0
2023-06-01,AT&T,Monthly WIN - MRC,0.0
2023-06-01,AT&T,Monthly WIN - TCV,0.0
2023-06-01,AT&T,Order in Progress - MRC,0.0
2023-06-01,Emily's channel,Billed Revenue,0.0
2023-06-01,Emily's channel,Monthly WIN - MRC,0.0
2023-06-01,Emily's channel,Monthly WIN - TCV,0.0
2023-06-01,Emily's channel,Order in Progress - MRC,0.0
2023-06-01,IPA,Billed Revenue,12770304.0
2023-06-01,IPA,Monthly WIN - MRC,7315.0
2023-06-01,IPA,Monthly WIN - TCV,219024.0
2023-06-01,IPA,Order in Progress - MRC,130070.0
2023-06-01,MNC,Billed Revenue,7035702.0
2023-06-01,MNC,Monthly WIN - MRC,43856.0
2023-06-01,MNC,Monthly WIN - TCV,1091142.0
2023-06-01,MNC,Order in Progress - MRC,36964.0
2023-06-01,Maggie's team,Billed Revenue,2367452.0
2023-06-01,Maggie's team,Monthly WIN - MRC,33478.0
2023-06-01,Maggie's team,Monthly WIN - TCV,837286.0
2023-06-01,Maggie's team,Order in Progress - MRC,117545.0
2023-06-01,Sherry's team,Billed Revenue,2090989.0
2023-06-01,Sherry's team,Monthly WIN - MRC,37188.0
2023-06-01,Sherry's team,Monthly WIN - TCV,423576.0
2023-06-01,Sherry's team,Order in Progress - MRC,14581.0
2023-06-01,Zscaler,Billed Revenue,0.0
2023-06-01,Zscaler,Monthly WIN - MRC,0.0
2023-06-01,Zscaler,Monthly WIN - TCV,0.0
2023-06-01,Zscaler,Order in Progress - MRC,0.0
2023-07-01,AT&T,Billed Revenue,0.0
2023-07-01,AT&T,Monthly WIN - MRC,0.0
2023-07-01,AT&T,Monthly WIN - TCV,0.0
2023-07-01,AT&T,Order in Progress - MRC,0.0
2023-07-01,Emily's channel,Billed Revenue,0.0
2023-07-01,Emily's channel,Monthly WIN - MRC,0.0
2023-07-01,Emily's channel,Monthly WIN - TCV,0.0
2023-07-01,Emily's channel,Order in Progress - MRC,0.0
2023-07-01,IPA,Billed Revenue,12688693.0
2023-07-01,IPA,Monthly WIN - MRC,231718.0
2023-07-01,IPA,Monthly WIN - TCV,3969674.0
2023-07-01,IPA,Order in Progress - MRC,664954.0
2023-07-01,MNC,Billed Revenue,6938983.0
2023-07-01,MNC,Monthly WIN - MRC,89042.0
2023-07-01,MNC,Monthly WIN - TCV,2270598.0
2023-07-01,MNC,Order in Progress - MRC,150016.0
2023-07-01,Maggie's team,Billed Revenue,2304675.0
2023-07-01,Maggie's team,Monthly WIN - MRC,18025.0
2023-07-01,Maggie's team,Monthly WIN - TCV,348390.0
2023-07-01,Maggie's team,Order in Progress - MRC,45569.0
2023-07-01,Sherry's team,Billed Revenue,2406947.0
2023-07-01,Sherry's team,Monthly WIN - MRC,7932.0
2023-07-01,Sherry's team,Monthly WIN - TCV,402385.0
2023-07-01,Sherry's team,Order in Progress - MRC,0.0
2023-07-01,Zscaler,Billed Revenue,0.0
2023-07-01,Zscaler,Monthly WIN - MRC,0.0
2023-07-01,Zscaler,Monthly WIN - TCV,0.0
2023-07-01,Zscaler,Order in Progress - MRC,0.0
2023-08-01,AT&T,Billed Revenue,0.0
2023-08-01,AT&T,Monthly WIN - MRC,0.0
2023-08-01,AT&T,Monthly WIN - TCV,0.0
2023-08-01,AT&T,Order in Progress - MRC,0.0
2023-08-01,Emily's channel,Billed Revenue,0.0
2023-08-01,Emily's channel,Monthly WIN - MRC,0.0
2023-08-01,Emily's channel,Monthly WIN - TCV,0.0
2023-08-01,Emily's channel,Order in Progress - MRC,0.0
2023-08-01,IPA,Billed Revenue,12872784.0
2023-08-01,IPA,Monthly WIN - MRC,185728.0
2023-08-01,IPA,Monthly WIN - TCV,3198995.0
2023-08-01,IPA,Order in Progress - MRC,429126.0
2023-08-01,MNC,Billed Revenue,6729870.0
2023-08-01,MNC,Monthly WIN - MRC,175693.0
2023-08-01,MNC,Monthly WIN - TCV,3694970.0
2023-08-01,MNC,Order in Progress - MRC,337941.0
2023-08-01,Maggie's team,Billed Revenue,2394347.0
2023-08-01,Maggie's team,Monthly WIN - MRC,16544.0
2023-08-01,Maggie's team,Monthly WIN - TCV,202028.0
2023-08-01,Maggie's team,Order in Progress - MRC,65898.0
2023-08-01,Sherry's team,Billed Revenue,1747244.0
2023-08-01,Sherry's team,Monthly WIN - MRC,40710.0
2023-08-01,Sherry's team,Monthly WIN - TCV,561870.0
2023-08-01,Sherry's team,Order in Progress - MRC,37350.0
2023-08-01,Zscaler,Billed Revenue,0.0
2023-08-01,Zscaler,Monthly WIN - MRC,0.0
2023-08-01,Zscaler,Monthly WIN - TCV,0.0
2023-08-01,Zscaler,Order in Progress - MRC,0.0
2023-09-01,AT&T,Billed Revenue,0.0
2023-09-01,AT&T,Monthly WIN - MRC,0.0
2023-09-01,AT&T,Monthly WIN - TCV,0.0
2023-09-01,AT&T,Order in Progress - MRC,0.0
2023-09-01,Emily's channel,Billed Revenue,0.0
2023-09-01,Emily's channel,Monthly WIN - MRC,0.0
2023-09-01,Emily's channel,Monthly WIN - TCV,0.0
2023-09-01,Emily's channel,Order in Progress - MRC,0.0
2023-09-01,IPA,Billed Revenue,12851687.0
2023-09-01,IPA,Monthly WIN - MRC,171821.0
2023-09-01,IPA,Monthly WIN - TCV,5278246.0
2023-09-01,IPA,Order in Progress - MRC,292425.0
2023-09-01,MNC,Billed Revenue,6654455.0
2023-09-01,MNC,Monthly WIN - MRC,195452.0
2023-09-01,MNC,Monthly WIN - TCV,5264858.0
2023-09-01,MNC,Order in Progress - MRC,166210.0
2023-09-01,Maggie's team,Billed Revenue,2354196.0
2023-09-01,Maggie's team,Monthly WIN - MRC,12516.0
2023-09-01,Maggie's team,Monthly WIN - TCV,261795.0
2023-09-01,Maggie's team,Order in Progress - MRC,52347.0
2023-09-01,Sherry's team,Billed Revenue,1585710.0
2023-09-01,Sherry's team,Monthly WIN - MRC,41263.0
2023-09-01,Sherry's team,Monthly WIN - TCV,705812.0
2023-09-01,Sherry's team,Order in Progress - MRC,47885.0
2023-09-01,Zscaler,Billed Revenue,0.0
2023-09-01,Zscaler,Monthly WIN - MRC,0.0
2023-09-01,Zscaler,Monthly WIN - TCV,0.0
2023-09-01,Zscaler,Order in Progress - MRC,0.0
2023-10-01,AT&T,Billed Revenue,0.0
2023-10-01,AT&T,Monthly WIN - MRC,0.0
2023-10-01,AT&T,Monthly WIN - TCV,0.0
2023-10-01,AT&T,Order in Progress - MRC,0.0
2023-10-01,Emily's channel,Billed Revenue,0.0
2023-10-01,Emily's channel,Monthly WIN - MRC,0.0
2023-10-01,Emily's channel,Monthly WIN - TCV,0.0
2023-10-01,Emily's channel,Order in Progress - MRC,0.0
2023-10-01,IPA,Billed Revenue,12983549.0
2023-10-01,IPA,Monthly WIN - MRC,62547.0
2023-10-01,IPA,Monthly WIN - TCV,786170.0
2023-10-01,IPA,Order in Progress - MRC,79155.0
2023-10-01,MNC,Billed Revenue,6548986.0
2023-10-01,MNC,Monthly WIN - MRC,357928.0
2023-10-01,MNC,Monthly WIN - TCV,8628619.0
2023-10-01,MNC,Order in Progress - MRC,559651.0
2023-10-01,Maggie's team,Billed Revenue,2121010.0
2023-10-01,Maggie's team,Monthly WIN - MRC,0.0
2023-10-01,Maggie's team,Monthly WIN - TCV,0.0
2023-10-01,Maggie's team,Order in Progress - MRC,62236.0
2023-10-01,Sherry's team,Billed Revenue,2229765.0
2023-10-01,Sherry's team,Monthly WIN - MRC,0.0
2023-10-01,Sherry's team,Monthly WIN - TCV,0.0
2023-10-01,Sherry's team,Order in Progress - MRC,11335.0
2023-10-01,Zscaler,Billed Revenue,0.0
2023-10-01,Zscaler,Monthly WIN - MRC,0.0
2023-10-01,Zscaler,Monthly WIN - TCV,0.0
2023-10-01,Zscaler,Order in Progress - MRC,0.0
2023-11-01,AT&T,Billed Revenue,0.0
2023-11-01,AT&T,Monthly WIN - MRC,0.0
2023-11-01,AT&T,Monthly WIN - TCV,0.0
2023-11-01,AT&T,Order in Progress - MRC,0.0
2023-11-01,Emily's channel,Billed Revenue,0.0
2023-11-01,Emily's channel,Monthly WIN - MRC,0.0
2023-11-01,Emily's channel,Monthly WIN - TCV,0.0
2023-11-01,Emily's channel,Order in Progress - MRC,0.0
2023-11-01,IPA,Billed Revenue,0.0
2023-11-01,IPA,Monthly WIN - MRC,0.0
2023-11-01,IPA,Monthly WIN - TCV,0.0
2023-11-01,IPA,Order in Progress - MRC,0.0
2023-11-01,MNC,Billed Revenue,6935112.6595
2023-11-01,MNC,Monthly WIN - MRC,0.0
2023-11-01,MNC,Monthly WIN - TCV,0.0
2023-11-01,MNC,Order in Progress - MRC,0.0
2023-11-01,Maggie's team,Billed Revenue,0.0
2023-11-01,Maggie's team,Monthly WIN - MRC,0.0
2023-11-01,Maggie's team,Monthly WIN - TCV,0.0
2023-11-01,Maggie's team,Order in Progress - MRC,0.0
2023-11-01,Sherry's team,Billed Revenue,0.0
2023-11-01,Sherry's team,Monthly WIN - MRC,0.0
2023-11-01,Sherry's team,Monthly WIN - TCV,0.0
2023-11-01,Sherry's team,Order in Progress - MRC,0.0
2023-11-01,Zscaler,Billed Revenue,0.0
2023-11-01,Zscaler,Monthly WIN - MRC,0.0
2023-11-01,Zscaler,Monthly WIN - TCV,0.0
2023-11-01,Zscaler,Order in Progress - MRC,0.0
2023-12-01,AT&T,Billed Revenue,0.0
2023-12-01,AT&T,Monthly WIN - MRC,0.0
2023-12-01,AT&T,Monthly WIN - TCV,0.0
2023-12-01,AT&T,Order in Progress - MRC,0.0
2023-12-01,Emily's channel,Billed Revenue,0.0
2023-12-01,Emily's channel,Monthly WIN - MRC,0.0
2023-12-01,Emily's channel,Monthly WIN - TCV,0.0
2023-12-01,Emily's channel,Order in Progress - MRC,0.0
2023-12-01,IPA,Billed Revenue,13572220.0
2023-12-01,IPA,Monthly WIN - MRC,182675.0
2023-12-01,IPA,Monthly WIN - TCV,1720941.0
2023-12-01,IPA,Order in Progress - MRC,142042.0
